product_name,version,page_count,est_images,doc_names,last_modified,last_modified_year,current_or_legacy,l3_url
TIBCO® Data Science - Workbench,14.0.0,1856,1484,Example 6: Estimating Drug Responsiveness (Half-Maximal Response),2020-12-11,2020,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-data-science-workbench-14-0-0.xml
TIBCO® Data Science - Workbench,14.0.1,28143,22514,2x2 Tables Quick Tab,2022-08-16,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-data-science-workbench-14-0-1.xml
TIBCO® Data Science - Workbench,14.1.0,14219,11375,About Statistica Enterprise Manager,2023-06-20,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-data-science-workbench-14-1-0.xml
TIBCO EBX®,5.9.26,3092,2473,,2024-06-03,2024,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-5-9-26.xml
TIBCO EBX®,5.9.27,3092,2473,,2025-06-02,2025,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-5-9-27.xml
TIBCO EBX®,6.1.0,3442,2753,,2023-04-01,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-6-1-0.xml
TIBCO EBX®,6.1.1,5232,4185,,2023-07-13,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-6-1-1.xml
TIBCO EBX®,6.1.2,5232,4185,,2023-09-13,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-6-1-2.xml
TIBCO EBX®,6.1.3,5256,4204,,2023-12-11,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-6-1-3.xml
TIBCO EBX®,6.1.4,3504,2803,,2024-06-13,2024,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-6-1-4.xml
TIBCO EBX®,6.1.5,3504,2803,,2025-07-09,2025,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-6-1-5.xml
TIBCO EBX®,6.2.0,3724,2979,,2024-06-26,2024,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-6-2-0.xml
TIBCO EBX®,6.2.1,3760,3008,,2025-03-26,2025,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-6-2-1.xml
TIBCO EBX®,6.2.2,3888,3110,,2025-09-04,2025,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-6-2-2.xml
TIBCO® Live Datamart,10.2.0,2688,2150,,2017-11-22,2017,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-live-datamart-10-2-0.xml
TIBCO® Live Datamart,10.2.1,3131,2504,,2018-02-12,2018,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-live-datamart-10-2-1.xml
TIBCO® Live Datamart,10.3.0,3928,3142,,2018-07-30,2018,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-live-datamart-10-3-0.xml
TIBCO® Live Datamart,2.1.8,3009,2407,,2018-01-12,2018,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-live-datamart-2-1-8.xml
TIBCO® Live Datamart,2.2.0,3014,2411,,2018-01-12,2018,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-live-datamart-2-2-0.xml
